^C^C(safe_env3) limyeeun@limyeeun-MS-7D42:~/src/safety-gymnasium-main/DDPG-HER-master$ mpirun -np 1 python3 -u main.py 
Creating offscreen glfw
Epoch:42| Running_reward:-1770.301| EP_reward:-1356.656| Memory_length:4300| Duration:277.051| Actor_Loss:15.140| Critic_Loss:0.076| Success rate:0.000| 6.9/31.1 GB RAM
Epoch:43| Running_reward:-1896.906| EP_reward:-1436.000| Memory_length:4400| Duration:278.183| Actor_Loss:16.489| Critic_Loss:0.063| Success rate:0.000| 7.0/31.1 GB RAM
Epoch:44| Running_reward:-1406.029| EP_reward:-1749.968| Memory_length:4500| Duration:278.777| Actor_Loss:16.577| Critic_Loss:0.054| Success rate:0.000| 7.1/31.1 GB RAM
Epoch:45| Running_reward:-2189.179| EP_reward:-1891.541| Memory_length:4600| Duration:278.530| Actor_Loss:16.615| Critic_Loss:0.038| Success rate:0.000| 7.2/31.1 GB RAM
Epoch:46| Running_reward:-1914.771| EP_reward:-1627.971| Memory_length:4700| Duration:278.763| Actor_Loss:18.030| Critic_Loss:0.040| Success rate:0.000| 7.3/31.1 GB RAM
Epoch:47| Running_reward:-1906.950| EP_reward:-1436.094| Memory_length:4800| Duration:279.160| Actor_Loss:15.666| Critic_Loss:0.056| Success rate:0.000| 7.4/31.1 GB RAM
Epoch:48| Running_reward:-1992.898| EP_reward:-1766.488| Memory_length:4900| Duration:279.047| Actor_Loss:17.152| Critic_Loss:0.034| Success rate:0.000| 7.4/31.1 GB RAM
Epoch:49| Running_reward:-1915.096| EP_reward:-1785.123| Memory_length:5000| Duration:279.326| Actor_Loss:16.043| Critic_Loss:0.059| Success rate:0.000| 7.5/31.1 GB RAM
Epoch:50| Running_reward:-1814.390| EP_reward:-1395.013| Memory_length:5100| Duration:279.407| Actor_Loss:17.174| Critic_Loss:0.058| Success rate:0.000| 7.6/31.1 GB RAM
Epoch:51| Running_reward:-1728.885| EP_reward:-1398.331| Memory_length:5200| Duration:278.748| Actor_Loss:16.914| Critic_Loss:0.077| Success rate:0.000| 7.7/31.1 GB RAM
Epoch:52| Running_reward:-1373.666| EP_reward:-2155.195| Memory_length:5300| Duration:279.147| Actor_Loss:17.870| Critic_Loss:0.076| Success rate:0.000| 7.8/31.1 GB RAM
Epoch:53| Running_reward:-2068.330| EP_reward:-1948.572| Memory_length:5400| Duration:278.775| Actor_Loss:16.577| Critic_Loss:0.032| Success rate:0.000| 7.9/31.1 GB RAM
Epoch:54| Running_reward:-1918.577| EP_reward:-2131.548| Memory_length:5500| Duration:279.150| Actor_Loss:16.170| Critic_Loss:0.062| Success rate:0.000| 7.9/31.1 GB RAM
Epoch:55| Running_reward:-1436.126| EP_reward:-1907.374| Memory_length:5600| Duration:279.180| Actor_Loss:15.706| Critic_Loss:0.048| Success rate:0.000| 8.0/31.1 GB RAM
Epoch:56| Running_reward:-1789.601| EP_reward:-1401.644| Memory_length:5700| Duration:278.516| Actor_Loss:17.375| Critic_Loss:0.025| Success rate:0.000| 8.1/31.1 GB RAM
Epoch:57| Running_reward:-1789.014| EP_reward:-1893.061| Memory_length:5800| Duration:280.718| Actor_Loss:16.863| Critic_Loss:0.136| Success rate:0.000| 8.3/31.1 GB RAM
Epoch:58| Running_reward:-1785.422| EP_reward:-2205.729| Memory_length:5900| Duration:281.113| Actor_Loss:17.500| Critic_Loss:0.030| Success rate:0.000| 8.4/31.1 GB RAM
Epoch:59| Running_reward:-1438.955| EP_reward:-1727.233| Memory_length:6000| Duration:279.742| Actor_Loss:17.677| Critic_Loss:0.037| Success rate:0.000| 8.5/31.1 GB RAM
Epoch:60| Running_reward:-1441.833| EP_reward:-1431.105| Memory_length:6100| Duration:279.016| Actor_Loss:17.000| Critic_Loss:0.040| Success rate:0.000| 8.5/31.1 GB RAM
Epoch:61| Running_reward:-1928.369| EP_reward:-2237.753| Memory_length:6200| Duration:280.315| Actor_Loss:17.151| Critic_Loss:0.046| Success rate:0.000| 8.6/31.1 GB RAM
Epoch:62| Running_reward:-2119.477| EP_reward:-2089.602| Memory_length:6300| Duration:280.776| Actor_Loss:17.383| Critic_Loss:0.086| Success rate:0.000| 8.8/31.1 GB RAM
Epoch:63| Running_reward:-1914.447| EP_reward:-2121.888| Memory_length:6400| Duration:278.677| Actor_Loss:16.427| Critic_Loss:0.060| Success rate:0.000| 8.9/31.1 GB RAM
Epoch:64| Running_reward:-2158.510| EP_reward:-2158.044| Memory_length:6500| Duration:278.407| Actor_Loss:16.288| Critic_Loss:0.077| Success rate:0.000| 8.9/31.1 GB RAM
Epoch:65| Running_reward:-1445.439| EP_reward:-2102.910| Memory_length:6600| Duration:280.705| Actor_Loss:17.463| Critic_Loss:0.084| Success rate:0.000| 9.2/31.1 GB RAM
Epoch:66| Running_reward:-1370.325| EP_reward:-1965.122| Memory_length:6700| Duration:282.847| Actor_Loss:15.414| Critic_Loss:0.053| Success rate:0.000| 9.3/31.1 GB RAM
Epoch:67| Running_reward:-2110.941| EP_reward:-1933.136| Memory_length:6800| Duration:282.380| Actor_Loss:18.014| Critic_Loss:0.044| Success rate:0.000| 9.3/31.1 GB RAM
Epoch:68| Running_reward:-1757.655| EP_reward:-1424.963| Memory_length:6900| Duration:280.380| Actor_Loss:17.241| Critic_Loss:0.109| Success rate:0.000| 9.4/31.1 GB RAM
Epoch:69| Running_reward:-1913.900| EP_reward:-1899.850| Memory_length:7000| Duration:281.395| Actor_Loss:18.131| Critic_Loss:0.041| Success rate:0.000| 9.5/31.1 GB RAM
Epoch:70| Running_reward:-2149.764| EP_reward:-1948.905| Memory_length:7100| Duration:279.885| Actor_Loss:17.782| Critic_Loss:0.072| Success rate:0.000| 9.6/31.1 GB RAM
Epoch:71| Running_reward:-2109.576| EP_reward:-1764.700| Memory_length:7200| Duration:283.673| Actor_Loss:18.161| Critic_Loss:0.069| Success rate:0.000| 10.1/31.1 GB RAM
Epoch:72| Running_reward:-1861.154| EP_reward:-1806.554| Memory_length:7300| Duration:283.653| Actor_Loss:17.611| Critic_Loss:0.040| Success rate:0.000| 10.0/31.1 GB RAM
Epoch:73| Running_reward:-1422.316| EP_reward:-1854.644| Memory_length:7400| Duration:282.458| Actor_Loss:17.267| Critic_Loss:0.142| Success rate:0.000| 9.9/31.1 GB RAM
Epoch:74| Running_reward:-1775.170| EP_reward:-1762.550| Memory_length:7500| Duration:287.617| Actor_Loss:18.625| Critic_Loss:0.060| Success rate:0.000| 10.7/31.1 GB RAM
Epoch:75| Running_reward:-2110.428| EP_reward:-2148.271| Memory_length:7600| Duration:288.484| Actor_Loss:18.174| Critic_Loss:0.050| Success rate:0.000| 10.9/31.1 GB RAM
Epoch:76| Running_reward:-1820.558| EP_reward:-1783.440| Memory_length:7700| Duration:288.138| Actor_Loss:16.481| Critic_Loss:0.057| Success rate:0.000| 10.9/31.1 GB RAM
Epoch:77| Running_reward:-1916.786| EP_reward:-1368.480| Memory_length:7800| Duration:285.851| Actor_Loss:18.733| Critic_Loss:0.063| Success rate:0.000| 11.1/31.1 GB RAM
Epoch:78| Running_reward:-1739.705| EP_reward:-2182.671| Memory_length:7900| Duration:284.485| Actor_Loss:17.869| Critic_Loss:0.077| Success rate:0.000| 11.2/31.1 GB RAM
Epoch:79| Running_reward:-1836.015| EP_reward:-1766.088| Memory_length:8000| Duration:285.007| Actor_Loss:17.427| Critic_Loss:0.059| Success rate:0.000| 11.2/31.1 GB RAM
Epoch:80| Running_reward:-1924.640| EP_reward:-1373.033| Memory_length:8100| Duration:284.857| Actor_Loss:17.653| Critic_Loss:0.034| Success rate:0.000| 11.4/31.1 GB RAM
Epoch:81| Running_reward:-2065.571| EP_reward:-2205.060| Memory_length:8200| Duration:284.338| Actor_Loss:17.952| Critic_Loss:0.089| Success rate:0.000| 11.4/31.1 GB RAM
Epoch:82| Running_reward:-1870.137| EP_reward:-1896.172| Memory_length:8300| Duration:284.751| Actor_Loss:16.700| Critic_Loss:0.062| Success rate:0.000| 11.5/31.1 GB RAM
Epoch:83| Running_reward:-1892.334| EP_reward:-1701.163| Memory_length:8400| Duration:284.852| Actor_Loss:18.263| Critic_Loss:0.046| Success rate:0.000| 11.6/31.1 GB RAM
Epoch:84| Running_reward:-1909.692| EP_reward:-1801.545| Memory_length:8500| Duration:284.438| Actor_Loss:16.410| Critic_Loss:0.070| Success rate:0.000| 11.8/31.1 GB RAM
Epoch:85| Running_reward:-1694.575| EP_reward:-1906.002| Memory_length:8600| Duration:284.544| Actor_Loss:17.323| Critic_Loss:0.094| Success rate:0.000| 11.8/31.1 GB RAM
Epoch:86| Running_reward:-1722.304| EP_reward:-1812.475| Memory_length:8700| Duration:284.363| Actor_Loss:17.248| Critic_Loss:0.060| Success rate:0.000| 12.0/31.1 GB RAM
Epoch:87| Running_reward:-2107.558| EP_reward:-1370.716| Memory_length:8800| Duration:284.606| Actor_Loss:16.312| Critic_Loss:0.057| Success rate:0.000| 12.0/31.1 GB RAM
Epoch:88| Running_reward:-2102.012| EP_reward:-1727.546| Memory_length:8900| Duration:284.439| Actor_Loss:17.257| Critic_Loss:0.101| Success rate:0.000| 12.1/31.1 GB RAM
Epoch:89| Running_reward:-1897.664| EP_reward:-1891.408| Memory_length:9000| Duration:284.871| Actor_Loss:18.558| Critic_Loss:0.207| Success rate:0.000| 12.1/31.1 GB RAM
Epoch:90| Running_reward:-1917.921| EP_reward:-2163.271| Memory_length:9100| Duration:284.833| Actor_Loss:17.887| Critic_Loss:0.075| Success rate:0.000| 12.2/31.1 GB RAM
Epoch:91| Running_reward:-2138.046| EP_reward:-1401.810| Memory_length:9200| Duration:285.035| Actor_Loss:16.412| Critic_Loss:0.052| Success rate:0.000| 12.3/31.1 GB RAM
