Epoch:50| Running_reward:-422.633| EP_reward:-422.658| Memory_length:5100| Duration:228.363| Actor_Loss:4.682| Critic_Loss:0.001| Success rate:0.000| 19.2/31.1 GB RAM
Epoch:51| Running_reward:-424.006| EP_reward:-420.662| Memory_length:5200| Duration:228.719| Actor_Loss:4.091| Critic_Loss:0.002| Success rate:0.000| 19.5/31.1 GB RAM
Epoch:52| Running_reward:-408.912| EP_reward:-421.320| Memory_length:5300| Duration:229.512| Actor_Loss:3.976| Critic_Loss:0.002| Success rate:0.000| 19.7/31.1 GB RAM
Epoch:53| Running_reward:-420.724| EP_reward:-423.685| Memory_length:5400| Duration:228.209| Actor_Loss:4.697| Critic_Loss:0.001| Success rate:0.000| 20.0/31.1 GB RAM
Epoch:54| Running_reward:-422.044| EP_reward:-425.905| Memory_length:5500| Duration:229.301| Actor_Loss:4.595| Critic_Loss:0.003| Success rate:0.000| 20.3/31.1 GB RAM
Epoch:55| Running_reward:-424.478| EP_reward:-424.224| Memory_length:5600| Duration:230.288| Actor_Loss:4.559| Critic_Loss:0.001| Success rate:0.000| 20.5/31.1 GB RAM
Epoch:56| Running_reward:-415.183| EP_reward:-415.734| Memory_length:5700| Duration:229.032| Actor_Loss:4.472| Critic_Loss:0.030| Success rate:0.000| 20.7/31.1 GB RAM
Epoch:57| Running_reward:-412.650| EP_reward:-424.934| Memory_length:5800| Duration:229.425| Actor_Loss:5.031| Critic_Loss:0.001| Success rate:0.000| 21.0/31.1 GB RAM
Epoch:58| Running_reward:-423.153| EP_reward:-419.084| Memory_length:5900| Duration:230.152| Actor_Loss:4.463| Critic_Loss:0.002| Success rate:0.000| 21.3/31.1 GB RAM
Epoch:59| Running_reward:-414.181| EP_reward:-422.881| Memory_length:6000| Duration:231.403| Actor_Loss:3.490| Critic_Loss:0.000| Success rate:0.000| 21.5/31.1 GB RAM
Epoch:60| Running_reward:-405.365| EP_reward:-424.858| Memory_length:6100| Duration:230.238| Actor_Loss:4.251| Critic_Loss:0.002| Success rate:0.000| 21.8/31.1 GB RAM
Epoch:61| Running_reward:-423.609| EP_reward:-418.817| Memory_length:6200| Duration:230.124| Actor_Loss:4.350| Critic_Loss:0.001| Success rate:0.000| 22.0/31.1 GB RAM
Epoch:62| Running_reward:-409.644| EP_reward:-419.727| Memory_length:6300| Duration:231.191| Actor_Loss:4.066| Critic_Loss:0.001| Success rate:0.000| 22.3/31.1 GB RAM
Epoch:63| Running_reward:-424.387| EP_reward:-417.261| Memory_length:6400| Duration:230.586| Actor_Loss:3.668| Critic_Loss:0.001| Success rate:0.000| 22.6/31.1 GB RAM
Epoch:64| Running_reward:-422.652| EP_reward:-417.255| Memory_length:6500| Duration:231.123| Actor_Loss:4.522| Critic_Loss:0.000| Success rate:0.000| 22.8/31.1 GB RAM
Epoch:65| Running_reward:-423.896| EP_reward:-423.172| Memory_length:6600| Duration:231.274| Actor_Loss:5.115| Critic_Loss:0.003| Success rate:0.000| 23.1/31.1 GB RAM
Epoch:66| Running_reward:-420.343| EP_reward:-413.670| Memory_length:6700| Duration:230.931| Actor_Loss:3.955| Critic_Loss:0.001| Success rate:0.000| 23.3/31.1 GB RAM
Epoch:67| Running_reward:-402.858| EP_reward:-416.904| Memory_length:6800| Duration:230.526| Actor_Loss:4.730| Critic_Loss:0.004| Success rate:0.000| 23.6/31.1 GB RAM
Epoch:68| Running_reward:-411.613| EP_reward:-409.316| Memory_length:6900| Duration:231.519| Actor_Loss:4.801| Critic_Loss:0.003| Success rate:0.000| 23.8/31.1 GB RAM
Epoch:69| Running_reward:-405.038| EP_reward:-405.382| Memory_length:7000| Duration:230.570| Actor_Loss:4.163| Critic_Loss:0.001| Success rate:0.000| 24.1/31.1 GB RAM
Epoch:70| Running_reward:-420.680| EP_reward:-414.628| Memory_length:7100| Duration:232.078| Actor_Loss:4.869| Critic_Loss:0.001| Success rate:0.000| 24.4/31.1 GB RAM
Epoch:71| Running_reward:-421.658| EP_reward:-422.649| Memory_length:7200| Duration:230.649| Actor_Loss:4.352| Critic_Loss:0.001| Success rate:0.000| 24.6/31.1 GB RAM
Epoch:72| Running_reward:-424.360| EP_reward:-423.025| Memory_length:7300| Duration:230.406| Actor_Loss:5.150| Critic_Loss:0.000| Success rate:0.000| 24.9/31.1 GB RAM
Epoch:73| Running_reward:-423.711| EP_reward:-424.361| Memory_length:7400| Duration:231.481| Actor_Loss:4.932| Critic_Loss:0.001| Success rate:0.000| 25.1/31.1 GB RAM
Epoch:74| Running_reward:-416.730| EP_reward:-421.503| Memory_length:7500| Duration:232.554| Actor_Loss:4.367| Critic_Loss:0.002| Success rate:0.000| 25.4/31.1 GB RAM
Epoch:75| Running_reward:-421.607| EP_reward:-422.426| Memory_length:7600| Duration:231.041| Actor_Loss:4.303| Critic_Loss:0.001| Success rate:0.000| 25.7/31.1 GB RAM
